n,atomic,2,3,7,9
126,true,1,0,1,1
10206,true,1,0,1,3
686,true,1,0,3,0
55566,true,1,0,3,2
6,true,1,1,0,0
486,true,1,1,0,2
2646,true,1,1,2,1
214326,true,1,1,2,3
126,true,1,2,1,0
10206,true,1,2,1,2
55566,true,1,2,3,1
4500846,true,1,2,3,3
486,true,1,3,0,1
39366,true,1,3,0,3
2646,true,1,3,2,0
214326,true,1,3,2,2
36,false,2,0,0,1
2916,false,2,0,0,3
196,true,2,0,2,0
15876,false,2,0,2,2
756,false,2,1,1,1
61236,false,2,1,1,3
4116,false,2,1,3,0
333396,false,2,1,3,2
36,false,2,2,0,0
2916,false,2,2,0,2
15876,false,2,2,2,1
1285956,false,2,2,2,3
756,false,2,3,1,0
61236,false,2,3,1,2
333396,false,2,3,3,1
27005076,false,2,3,3,3
56,true,3,0,1,0
4536,false,3,0,1,2
24696,false,3,0,3,1
2000376,false,3,0,3,3
216,false,3,1,0,1
17496,false,3,1,0,3
1176,false,3,1,2,0
95256,false,3,1,2,2
4536,false,3,2,1,1
367416,false,3,2,1,3
24696,false,3,2,3,0
2000376,false,3,2,3,2
216,false,3,3,0,0
17496,false,3,3,0,2
95256,false,3,3,2,1
7715736,false,3,3,2,3
